,Unnamed: 0,original,gen,PSNR,CS,CPL,SSIM,label,Hist_correlation,Hist_intersection,KL,MSE,WD,TSI,SSS1,VAE,VIF,VAE2D
583,619,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1672B291_20200401_OH01_DG06_2_14.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\light\images\1672B291_20200401_OH01_DG06_2_14_torchvision.jpg,12.66921939,0.20628694,90.78432,0.698983941,0,0.138811197,66333,inf,85.2666626,31.42136841,0.517263943,0.027453972,0.033941198,0.13938329,0.014497613
996,340,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1672B291_20200401_OH01_DG06_2_18.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\light\images\1672B291_20200401_OH01_DG06_2_18_torchvision.jpg,12.77464334,0.62496924,64.197296,0.79819685,1,0.1196611,49994,0.90578065,28.14695435,37.41329956,1.399810421,0.03811978,0.020855263,0.270473862,0.014779135
4,654,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1672D721_20200401_OH01_DG06_2_23.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\1672D721_20200401_OH01_DG06_2_23_torchvision.jpg,8.210934061,0.047733158,98.44436,0.480129994,0,0.903922778,76010,0.36633014,44.52610881,17.14039307,6.2174841,0.063675985,0.052542306,0.007999111,0.008419143
430,486,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1672D721_20200401_OH01_DG06_2_23.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\high\images\1672D721_20200401_OH01_DG06_2_23_torchvision.jpg,8.812704818,0.050218634,106.16964,0.489746007,0,-0.065896656,80605,-0.167936584,73.52729899,43.10889893,5.108096869,0.06933899,0.056854846,0.058933863,0.011139547
140,416,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1672D721_20200401_OH01_DG06_2_24.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\1672D721_20200401_OH01_DG06_2_24_torchvision.jpg,20.23610009,0.5619093,48.018635,0.795920817,1,0.061382731,40009,inf,14.52537842,10.33095093,3.218297456,0.02340739,0.01688448,0.237050609,0.010728959
287,14,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1672D721_20200401_OH01_DG06_2_24.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\1672D721_20200401_OH01_DG06_2_24_torchvision.jpg,10.08192398,0.059422255,69.84513,0.621477956,0,0.49948616,41633,inf,67.76617432,23.59841309,4.829488748,0.034813628,0.015270669,0.004499544,0.00514254
997,67,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1672D721_20200401_OH01_DG06_2_24.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\light\images\1672D721_20200401_OH01_DG06_2_24_torchvision.jpg,21.14995679,0.8865807,15.095703,0.912075515,1,0.036694213,37169,inf,58.01351725,17.10044556,0.326908023,0.008675377,0.0196846,0.421589543,0.010793317
141,582,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1672D721_20200401_OH01_DG06_2_6.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\1672D721_20200401_OH01_DG06_2_6_torchvision.jpg,17.43378075,0.67563075,58.042625,0.764689508,1,0.108615125,89607,-0.086104674,61.81971436,12.48833618,3.95871453,0.033123296,0.061403425,0.281217713,0.016861992
5,570,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1672D721_20200401_OH01_DG06_2_7.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\1672D721_20200401_OH01_DG06_2_7_torchvision.jpg,14.42039945,0.26170492,111.37333,0.508178327,0,0.094366799,61394,inf,21.37273153,29.04754639,6.554874022,0.027639749,0.016228151,0.141843093,0.023341302
288,900,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1672D721_20200401_OH01_DG06_2_7.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\1672D721_20200401_OH01_DG06_2_7_torchvision.jpg,22.86926529,0.89478976,24.03004,0.877386969,1,0.299132581,101554,inf,37.69572347,6.20234375,1.994551125,0.006982902,0.049442858,0.453213978,0.008421907
289,82,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1672D721_20200401_OH01_DG06_2_8.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\1672D721_20200401_OH01_DG06_2_8_torchvision.jpg,11.99541387,0.27326342,47.78704,0.709929189,0,0.039647116,42602,inf,80.05886841,27.1512085,3.357479207,0.01704684,0.01342591,0.071011963,0.004665891
584,624,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1672D721_20200401_OH01_DG06_2_8.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\light\images\1672D721_20200401_OH01_DG06_2_8_torchvision.jpg,15.40496147,0.30905458,65.17534,0.666164948,0,-0.035504575,27754,0.061377039,103.6852844,28.94296265,0.468921233,0.023372522,0.025505503,0.118406991,0.009983138
290,70,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1672D721_20200401_OH01_DG06_2_9.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\1672D721_20200401_OH01_DG06_2_9_torchvision.jpg,16.15499211,0.78694826,30.243195,0.807848491,1,0.158536333,82673,-0.04285729,56.15706177,7.904815674,2.450898973,0.019626051,0.054121061,0.339076293,0.017628553
1146,712,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1673E672_20200416_OH01_DG06_2_10.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\moderate\images\1673E672_20200416_OH01_DG06_2_10_torchvision.jpg,18.09178347,0.7450623,30.435852,0.880910994,1,0.908815276,115681,inf,15.44368693,11.08892212,0.563343933,0.023275608,0.020526344,0.287693356,0.007762695
291,400,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1673E672_20200416_OH01_DG06_2_3.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\1673E672_20200416_OH01_DG06_2_3_torchvision.jpg,13.52862038,0.23176019,51.891235,0.749569122,0,-0.03461641,26910,-0.009123443,83.68332926,22.81004028,1.253100538,0.011833793,0.024474244,0.068426697,0.008024263
431,601,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1673E672_20200416_OH01_DG06_2_3.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\high\images\1673E672_20200416_OH01_DG06_2_3_torchvision.jpg,14.27288526,0.52223974,59.04959,0.812022525,0,-0.022287962,24205,0.039193188,91.48927409,30.01237793,0.473556751,0.08221012,0.049024818,0.2446762,0.02434812
719,1064,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1673E672_20200416_OH01_DG06_2_3.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\moderate\images\1673E672_20200416_OH01_DG06_2_3_torchvision.jpg,10.84430371,0.4984534,56.81637,0.692575587,0,-0.052646574,22478,-0.046545502,100.396346,48.22510376,2.416964286,0.011799388,0.053639847,0.230256861,0.020472104
142,1159,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1673E672_20200416_OH01_DG06_2_4.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\1673E672_20200416_OH01_DG06_2_4_torchvision.jpg,15.67813504,0.5043086,41.947407,0.915383316,0,0.04729663,26536,inf,19.9041097,10.8508667,0.977825342,0.09487386,0.048041635,0.30237792,0.018400569
1147,207,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1673E672_20200416_OH01_DG06_2_4.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\moderate\images\1673E672_20200416_OH01_DG06_2_4_torchvision.jpg,14.74633873,0.64515936,30.617146,0.864072161,1,0.0024083,11083,0.51939956,55.81138916,28.68201904,0.819918053,0.019700333,0.010801383,0.2402661,0.005777112
292,79,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1673E672_20200416_OH01_DG06_2_8.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\1673E672_20200416_OH01_DG06_2_8_torchvision.jpg,20.20571186,0.8731681,9.907025,0.947265077,1,0.582194433,72254,0.956835893,54.37827555,10.68866577,0.462585616,0.004144623,0.024482452,0.410436008,0.006618504
293,790,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1674E732_20200403_OH01_DG06_2_19.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\1674E732_20200403_OH01_DG06_2_19_torchvision.jpg,18.14534908,0.7733009,46.136925,0.820968885,0,0.935104573,124715,0.265743279,31.96155192,8.849188232,1.870040362,0.036159087,0.056873203,0.355611894,0.021199334
998,1066,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1674Z011_20200416_OH01_DG06_2_13.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\light\images\1674Z011_20200416_OH01_DG06_2_13_torchvision.jpg,8.696958081,0.031225465,162.55861,0.380170291,0,-0.12517715,17320,inf,49.34451497,52.60250244,8.444300391,0.021761816,0.012533961,0.018127732,0.004434847
1148,1111,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1674Z011_20200416_OH01_DG06_2_14.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\moderate\images\1674Z011_20200416_OH01_DG06_2_14_torchvision.jpg,15.92826761,0.8567745,25.881863,0.852560954,1,0.384999355,93948,0.593583972,16.58510132,22.63234863,1.555956458,0.015776463,0.06180108,0.435685832,0.020652631
585,1204,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1674Z011_20200416_OH01_DG06_2_17.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\light\images\1674Z011_20200416_OH01_DG06_2_17_torchvision.jpg,16.90642641,0.7933532,51.931206,0.728683935,1,0.362784543,67390,1.229436754,91.550177,25.59431152,2.892581947,0.031007053,0.069686612,0.411962888,0.016938986
861,774,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1674Z011_20200416_OH01_DG06_2_17.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\high\images\1674Z011_20200416_OH01_DG06_2_17_torchvision.jpg,17.56803909,0.820216,37.807972,0.844436044,1,0.543139934,85827,0.811799279,28.6068929,17.87547607,1.809222114,0.021295238,0.054129882,0.401291828,0.02596333
1149,802,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1674Z011_20200416_OH01_DG06_2_17.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\moderate\images\1674Z011_20200416_OH01_DG06_2_17_torchvision.jpg,11.71142667,0.6604253,59.117577,0.726472796,1,0.186512129,64373,inf,31.37954712,40.97570801,0.622101272,0.022750974,0.04346482,0.240064767,0.03451089
586,600,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1674Z413_20200416_OH01_DG06_2_7.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\light\images\1674Z413_20200416_OH01_DG06_2_7_torchvision.jpg,14.54425703,0.7732505,58.688343,0.728013593,1,0.572920904,101939,0.318194508,65.42278849,22.60939941,5.160310665,0.012694915,0.115472555,0.43534917,0.04160783
294,1187,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1674Z413_20200416_OH01_DG06_2_8.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\1674Z413_20200416_OH01_DG06_2_8_torchvision.jpg,19.26422574,0.84596753,22.123158,0.907231771,1,0.179626433,78019,0.931231743,51.67207031,10.83458252,0.981158268,0.022941682,0.054650868,0.481669221,0.017715822
432,187,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1674Z413_20200416_OH01_DG06_2_8.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\high\images\1674Z413_20200416_OH01_DG06_2_8_torchvision.jpg,9.71831567,0.2777804,98.004196,0.581713437,0,0.127566147,71548,0.919996778,91.98508708,55.47731323,3.186949609,0.04477817,0.095121969,0.176984884,0.025188713
433,76,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1674Z812_20200416_OH01_DG06_2_21.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\high\images\1674Z812_20200416_OH01_DG06_2_21_torchvision.jpg,8.873992811,0.25556543,139.2042,0.494669827,0,0.005951145,76650,0.562727641,81.58206787,50.76917725,5.937194227,0.059265517,0.098247358,0.081545312,0.025455492
999,1032,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1674Z812_20200416_OH01_DG06_2_21.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\light\images\1674Z812_20200416_OH01_DG06_2_21_torchvision.jpg,20.76130738,0.8074197,54.452606,0.843603011,1,0.488732303,96404,0.391919158,33.82954915,8.192675781,2.381904354,0.03793382,0.061430209,0.380519918,0.022770483
1000,1034,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1674Z812_20200416_OH01_DG06_2_25.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\light\images\1674Z812_20200416_OH01_DG06_2_25_torchvision.jpg,20.66210934,0.745502,28.38443,0.86951123,1,0.042779106,41563,inf,45.26395874,14.84293823,0.817245597,0.015353569,0.00768284,0.399335843,0.004373804
295,454,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1675S482_20200409_OH01_DG06_2_13.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\1675S482_20200409_OH01_DG06_2_13_torchvision.jpg,21.36992506,0.9076488,9.548952,0.940301762,1,0.412205524,87436,-0.013742511,66.60552165,12.45427246,0.066670744,0.016280781,0.032712465,0.43956395,0.011683013
1150,292,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1675S482_20200409_OH01_DG06_2_13.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\moderate\images\1675S482_20200409_OH01_DG06_2_13_torchvision.jpg,21.6291816,0.83200514,20.818247,0.927523985,1,0.227420848,61393,inf,36.0397522,11.52911377,0.370896526,0.010906063,0.016344912,0.366553574,0.008204196
296,435,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1676Z713_20200403_OH01_DG06_2_18.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\1676Z713_20200403_OH01_DG06_2_18_torchvision.jpg,13.96794409,0.8284211,30.759842,0.796156231,1,0.057721071,74880,0.769332987,58.50465291,24.73270874,1.815300881,0.010023484,0.073868785,0.305268316,0.014837194
434,617,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1676Z713_20200403_OH01_DG06_2_18.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\high\images\1676Z713_20200403_OH01_DG06_2_18_torchvision.jpg,9.122467099,0.36021382,153.81136,0.433852487,0,-0.119727454,66534,1.344686761,95.72017212,66.93848877,4.409693004,0.04027514,0.097391906,0.172637633,0.047484313
6,33,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1676Z713_20200403_OH01_DG06_2_21.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\1676Z713_20200403_OH01_DG06_2_21_torchvision.jpg,12.8744433,0.82220936,29.617489,0.778017751,1,0.024141076,71168,1.001700492,52.07210286,33.50087891,0.097113503,0.012328703,0.068360615,0.327217831,0.019810763
587,826,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1676Z713_20200403_OH01_DG06_2_21.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\light\images\1676Z713_20200403_OH01_DG06_2_21_torchvision.jpg,19.76729188,0.886131,21.808298,0.847803204,1,0.780775836,117744,0.272381006,79.04633993,14.9493103,2.01888454,0.012006268,0.04599163,0.439565293,0.020432021
143,889,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1678F614_20200514_OH01_DG06_2_13.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\1678F614_20200514_OH01_DG06_2_13_torchvision.jpg,14.09299654,0.765262,52.567688,0.798332592,1,0.515781167,86137,0.629848124,56.80034587,15.99336548,3.652641879,0.034027476,0.037559904,0.307605497,0.010891345
1151,893,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1678F614_20200514_OH01_DG06_2_13.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\moderate\images\1678F614_20200514_OH01_DG06_2_13_torchvision.jpg,22.778746,0.8283585,38.379185,0.891982383,1,0.915829439,139725,0.073302352,14.85727336,4.00357666,0.590582192,0.0172231,0.034224036,0.36484295,0.013904035
588,283,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1678F614_20200514_OH01_DG06_2_27.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\light\images\1678F614_20200514_OH01_DG06_2_27_torchvision.jpg,23.04575057,0.92538095,11.896963,0.921230634,1,0.53803358,87432,inf,73.45922852,10.96257935,0.339016634,0.004898673,0.044729454,0.501359278,0.009225931
1152,648,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1678F614_20200514_OH01_DG06_2_27.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\moderate\images\1678F614_20200514_OH01_DG06_2_27_torchvision.jpg,14.70143238,0.71512115,37.183834,0.837331364,1,0.256972391,55681,inf,45.43924561,26.06685791,1.618915117,0.039596662,0.011668789,0.317419796,0.018397195
297,343,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1678F614_20200514_OH01_DG06_2_28.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\1678F614_20200514_OH01_DG06_2_28_torchvision.jpg,15.5471671,0.5074294,53.99343,0.787012695,0,0.670297225,101993,inf,47.56663208,7.210583496,2.058861301,0.031133698,0.034879661,0.217256751,0.011165031
589,517,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1678H971_20200514_OH01_DG06_2_32.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\light\images\1678H971_20200514_OH01_DG06_2_32_torchvision.jpg,15.87756887,0.46826053,77.24746,0.663330294,0,0.35380314,59341,1.124871625,82.69030762,22.46591797,3.834234344,0.019082012,0.032363505,0.246328058,0.013178857
720,1208,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1678H971_20200514_OH01_DG06_2_32.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\moderate\images\1678H971_20200514_OH01_DG06_2_32_torchvision.jpg,11.83675615,0.88550586,17.774754,0.848871591,1,0.487823226,65156,1.08077791,79.79800415,40.04313354,0.306158268,0.013808378,0.086153513,0.46940393,0.021192585
1001,1033,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1679R341_20200409_OH01_DG06_2_11.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\light\images\1679R341_20200409_OH01_DG06_2_11_torchvision.jpg,18.74377621,0.6476782,58.96396,0.673474479,1,0.49243716,81114,0.763233297,70.78761393,15.57418823,4.185671477,0.03326817,0.032461322,0.207867302,0.012337472
1002,521,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1679R341_20200409_OH01_DG06_2_12.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\light\images\1679R341_20200409_OH01_DG06_2_12_torchvision.jpg,17.57473808,0.73615736,81.629745,0.736410828,0,0.632844108,106736,inf,35.14395345,13.82153931,3.626076321,0.03925023,0.049816928,0.302843214,0.022043348
590,1258,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1679R341_20200409_OH01_DG06_2_13.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\light\images\1679R341_20200409_OH01_DG06_2_13_torchvision.jpg,15.86643025,0.8685691,36.550617,0.762336289,1,0.214401864,87866,0.687909786,73.61125692,25.09571533,0.748116438,0.05558025,0.331730647,0.404276273,0.037121346
7,202,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1679R341_20200409_OH01_DG06_2_29.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\1679R341_20200409_OH01_DG06_2_29_torchvision.jpg,19.20231021,0.7795299,20.475216,0.850369649,1,0.824298195,109122,-0.035175239,47.7209554,11.802771,1.214230675,0.02851113,0.056819011,0.39816937,0.01488337
144,584,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1679R341_20200409_OH01_DG06_2_29.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\1679R341_20200409_OH01_DG06_2_29_torchvision.jpg,13.90295921,0.38601807,49.52357,0.594274744,0,0.155831057,66288,0.232282725,68.26601156,29.4152832,4.127103718,0.023355754,0.051761954,0.137376104,0.02102276
591,1043,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1679R341_20200409_OH01_DG06_2_30.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\light\images\1679R341_20200409_OH01_DG06_2_30_torchvision.jpg,10.84216186,0.035829324,71.29594,0.452524312,0,0.020526431,58686,inf,57.89225057,26.04793091,3.175923434,0.06898353,0.012593278,0.025645571,0.004211047
721,938,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1679R341_20200409_OH01_DG06_2_30.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\moderate\images\1679R341_20200409_OH01_DG06_2_30_torchvision.jpg,22.07987218,0.81305814,34.0828,0.853259099,1,0.594642205,109729,0.040837782,45.03231812,9.307275391,2.024039873,0.015887363,0.05430554,0.42972636,0.024512599
592,668,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1773A891_20200416_OH01_DG06_2_21.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\light\images\1773A891_20200416_OH01_DG06_2_21_torchvision.jpg,22.64917332,0.9019779,31.331915,0.860759502,1,0.5663896,127297,0.207878271,48.93320923,6.696289063,0.432827789,0.027652558,0.062719297,0.413713255,0.027861549
